"","StudyID","Obs.ID","DOI","DispersingAgent","DispersingAgent.SodiumHex","DispersingAgent.OtherSolution","DispersingAgent.GlassBeads","DispersingAgent.Sonication","DispersingAgent.Combo","FractionationMethod","FractionationMethod.Size","FractionationMethod.Density","FractionationMethod.SizeAndDensity","Continent","Continent.Africa","Continent.Asia","Continent.Australia","Continent.Europe","Continent.NorthAmerica","Continent.SouthAmerica","country","ResponseCalc","ResponseCalc.Direct","ResponseCalc.Indirect","rv.type","summed","rv","mean.control.in.g.kg.1","mean.treatment.in.g.kg.1","sd.control.in.g.kg..1","sd.treatment.in.g.kg.1","sd.imputed.in.g.kg.1","control.BD..Mg.m.3.","treat.BD..Mg.m.3.","mean.control.in.Mg.ha.1","mean.treatment.in.Mg.ha.1","sd.control.in.Mg.ha.1","sd.treatment.in.Mg.ha.1","sd.imputed.in.Mg.ha.1","depth.upper.limit..cm.","depth.lower.limit..cm.","depth.type","depth.surface","depth.subsoil","depth.deepsoil","soilorder","soilorder.Alfisols","soilorder.Inceptisols","soilorder.Mollisols","soilorder.Oxisols","soilorder.Spodosols","soilorder.Ultisols","Baseline.depth..cm.","Baseline...sand","Baseline...silt","Baseline...clay","Baseline.TOC..","Baseline.pH","pH.method","SoilCollectionSeason","SoilCollectionSeason.spring","SoilCollectionSeason.summer","SoilCollectionSeason.fall","SoilCollectionSeason.winter","location.name","lat.decimal","long.decimal","maincrop","maincrop.cereal","maincrop.legume","maincrop.cereallegume","maincrop.otherrowcrop","maincrop.perennial","number.of.crop.species.in.control","cover.crop.added","ccadded.grass","ccadded.legume","ccadded.grasslegume","ccadded.brassica","ccadded.grassbrassica","ccadded.legumebrassica","ccadded.grasslegumebrassica","total.C.inputs.cover.crops..Mg.ha.1.yr.1.","bg.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.fallow..Mg.ha.1.yr.1.","ccseason","ccseason.spring","ccseason.summer","ccseason.fall","ccseason.winter","ccseason.yearround","number.crop.species.added","duration..yr.","reps","tillage","tillage.conventional","tillage.reducednotill","N.fertilization.rate..kg.ha.1.yr.1.","N.type","residue.removal....","logRR.type","logRR","percent.change","var","Further.notes","Further.notes.2","Temp","Prec"
"11","Baye09",103,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",1.666666667,2.435897436,0.1821340778,0.2661959599,NA,1.44,1.56,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"ryegrass, vetch",0,0,1,0,0,0,0,NA,NA,1.35,0.72,"winter",0,0,0,1,0,2,8,2,"no-till",0,1,NA,NA,NA,"gkg",0.379,46,0.0119422,"","",19.4,1654
"12","Baye09",104,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",1.666666667,3.835616438,0.1821340778,0.4191578778,NA,1.44,1.46,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"mucuna",0,1,0,0,0,0,0,NA,NA,2,0.72,"summer",0,1,0,0,0,1,8,2,"no-till",0,1,NA,NA,NA,"gkg",0.834,130,0.0119422,"","",19.4,1654
"13","Zana",1324,"10.1590/1678-992X-2017-0322","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",0.5,1.02,0.05464022335,0.1114660556,1,NA,NA,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",54,24,22,NA,NA,NA,"spring",1,0,0,0,"Southern Brazil",-30.8333333,-51.63333333,"oats,maize",1,0,0,0,0,2,"vetch,cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"conventional",1,0,0,"organic",NA,"gkg",0.713,104,0.0079615,"","",18.9,1381
"14","Zana",1325,"10.1590/1678-992X-2017-0322","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",0.82,1.34,0.08960996629,0.1464357986,1,NA,NA,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",54,24,22,NA,NA,NA,"spring",1,0,0,0,"Southern Brazil",-30.8333333,-51.63333333,"oats,maize",1,0,0,0,0,2,"vetch,cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"conventional",1,0,180,"organic",NA,"gkg",0.491,63,0.0079615,"","",18.9,1381
"15","Zana",1326,"10.1590/1678-992X-2017-0322","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",1.28,3.31,0.1398789718,0.3617182786,1,NA,NA,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",54,24,22,NA,NA,NA,"spring",1,0,0,0,"Southern Brazil",-30.8333333,-51.63333333,"oats,maize",1,0,0,0,0,2,"vetch,cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"no-till",0,1,0,"organic",NA,"gkg",0.95,159,0.0079615,"","",18.9,1381
"16","Zana",1327,"10.1590/1678-992X-2017-0322","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",2.43,3.86,0.2655514855,0.4218225243,1,NA,NA,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",54,24,22,NA,NA,NA,"spring",1,0,0,0,"Southern Brazil",-30.8333333,-51.63333333,"oats,maize",1,0,0,0,0,2,"vetch,cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"no-till",0,1,180,"organic",NA,"gkg",0.463,59,0.0079615,"","",18.9,1381
"17","Blan",210,"10.2136/sssaj2013.12.0550","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",1,"POM",14.95,16.35,0.8168713391,0.8933676518,1,NA,NA,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"South Central Agricultural Laboratory",40.582,-98.144,"corn",1,0,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,3,4,"no-till",0,1,162.5,"both",31.5,"gkg",0.09,9,0.0014928,"","",10.3,689
"18","Baye01",73,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"pom fraction",0,"PON",0.09295774648,0.1922077922,0.01015846406,0.02100455339,1,1.42,1.54,0.033,0.074,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"oat, vetch, cowpea",0,0,1,0,0,0,0,NA,NA,5.14,0.47,"winter and summer",0,1,0,1,0,3,12,3,"no-till",0,1,NA,NA,NA,"gkg",0.726,107,0.0079615,"","",18.9,1372
"19","Baye01",74,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"pom fraction",0,"PON",0.09295774648,0.3654676259,0.01015846406,0.03993846541,1,1.42,1.39,0.033,0.127,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"cajanus",0,1,0,0,0,0,0,NA,NA,5.8,0.47,"year-round",0,0,0,0,1,1,12,3,"no-till",0,1,NA,NA,NA,"gkg",1.369,293,0.0079615,"","",18.9,1372
"20","Baye09",123,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"TOC",10.13888889,10.46052632,1.107982307,1.143130989,NA,1.44,1.52,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"oat, vetch",0,0,1,0,0,0,0,NA,NA,1.69,0.72,"winter",0,0,0,1,0,2,8,2,"no-till",0,1,NA,NA,NA,"gkg",0.031,3,0.0119422,"","",19.4,1654
"21","Baye09",124,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"TOC",10.13888889,11.15384615,1.107982307,1.21889729,NA,1.44,1.56,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"ryegrass, vetch",0,0,1,0,0,0,0,NA,NA,1.35,0.72,"winter",0,0,0,1,0,2,8,2,"no-till",0,1,NA,NA,NA,"gkg",0.095,10,0.0119422,"","",19.4,1654
"22","Baye09",125,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"TOC",10.13888889,15.06849315,1.107982307,1.646691663,NA,1.44,1.46,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"mucuna",0,1,0,0,0,0,0,NA,NA,2,0.72,"summer",0,1,0,0,0,1,8,2,"no-till",0,1,NA,NA,NA,"gkg",0.396,49,0.0119422,"","",19.4,1654
"23","Blan",211,"10.2136/sssaj2013.12.0550","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"total organic matter",0,"TOC",19.5,20.6,2.130968711,2.251177202,1,NA,NA,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"South Central Agricultural Laboratory",40.582,-98.144,"corn",1,0,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,3,4,"no-till",0,1,162.5,"both",31.5,"gkg",0.055,6,0.0059711,"","",10.3,689
"24","Zana",1344,"10.1590/1678-992X-2017-0322","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"TOC",9.6,11.9,1.049092288,1.300437316,1,NA,NA,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",54,24,22,NA,NA,NA,"spring",1,0,0,0,"Southern Brazil",-30.8333333,-51.63333333,"oats,maize",1,0,0,0,0,2,"vetch,cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"conventional",1,0,0,"organic",NA,"gkg",0.215,24,0.0079615,"","",18.9,1381
"25","Zana",1345,"10.1590/1678-992X-2017-0322","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"TOC",10.2,12.8,1.114660556,1.398789718,1,NA,NA,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",54,24,22,NA,NA,NA,"spring",1,0,0,0,"Southern Brazil",-30.8333333,-51.63333333,"oats,maize",1,0,0,0,0,2,"vetch,cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"conventional",1,0,180,"organic",NA,"gkg",0.227,25,0.0079615,"","",18.9,1381
"26","Zana",1346,"10.1590/1678-992X-2017-0322","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"TOC",16.4,22.2,1.792199326,2.426025917,1,NA,NA,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",54,24,22,NA,NA,NA,"spring",1,0,0,0,"Southern Brazil",-30.8333333,-51.63333333,"oats,maize",1,0,0,0,0,2,"vetch,cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"no-till",0,1,0,"organic",NA,"gkg",0.303,35,0.0079615,"","",18.9,1381
"27","Zana",1347,"10.1590/1678-992X-2017-0322","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"TOC",19.9,24.3,2.174680889,2.655514855,1,NA,NA,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",54,24,22,NA,NA,NA,"spring",1,0,0,0,"Southern Brazil",-30.8333333,-51.63333333,"oats,maize",1,0,0,0,0,2,"vetch,cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"no-till",0,1,180,"organic",NA,"gkg",0.2,22,0.0079615,"","",18.9,1381
"28","Mott",795,"10.1080/00103620701663065","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",287,286,31.3634882,31.25420776,1,NA,NA,NA,NA,NA,NA,NA,0,3,"surface",1,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Alabama Agriculture Experiment Station",34.6916667,-86.89027778,"cotton",0,0,0,1,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,21,4,"conventional",1,0,80,"inorganic",NA,"gkg",-0.003,0,0.0059711,"","",15.3,1423
"29","Mott",796,"10.1080/00103620701663065","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",483,450,52.78245576,49.17620102,1,NA,NA,NA,NA,NA,NA,NA,0,3,"surface",1,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Alabama Agriculture Experiment Station",34.6916667,-86.89027778,"cotton",0,0,0,1,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,9,4,"no-till",0,1,80,"inorganic",NA,"gkg",-0.071,-7,0.0059711,"","",15.3,1423
"30","Mott",801,"10.1080/00103620701663065","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"total organic matter",0,"SOC",8.3,10.7,0.9070277076,1.16930078,1,NA,NA,NA,NA,NA,NA,NA,0,3,"surface",1,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Alabama Agriculture Experiment Station",34.6916667,-86.89027778,"cotton",0,0,0,1,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,21,4,"conventional",1,0,80,"inorganic",NA,"gkg",0.254,29,0.0059711,"","",15.3,1423
"31","Mott",802,"10.1080/00103620701663065","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"total organic matter",0,"SOC",18.1,18.9,1.977976085,2.065400443,1,NA,NA,NA,NA,NA,NA,NA,0,3,"surface",1,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Alabama Agriculture Experiment Station",34.6916667,-86.89027778,"cotton",0,0,0,1,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,9,4,"no-till",0,1,80,"inorganic",NA,"gkg",0.043,4,0.0059711,"","",15.3,1423
"32","Belt21",174,"10.1002/saj2.20257","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"maom fraction",0,"MAOC",NA,NA,NA,NA,NA,NA,NA,5.3,4.936,0.6541620453,0.6092346897,1,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,54.5,26.9,18.6,NA,5.6,"water","spring",1,0,0,0,"Villegas coarse textured soil",-34.9,-62.06666667,"soybean",0,1,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,2.01,NA,"winter",0,0,0,1,0,1,8,3,"no-till",0,1,NA,NA,NA,"mgha",-0.071,-7,0.0101561,"","",15.7,833
"33","Belt21",175,"10.1002/saj2.20257","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"maom fraction",0,"MAOC",NA,NA,NA,NA,NA,NA,NA,10.375,11.109,1.28055306,1.371148332,1,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,23.6,56.9,19.5,NA,5.7,"water","spring",1,0,0,0,"Balcarce fine-textured soil with high temperature and rainfall",-37.75,-58.25,"soybean",0,1,0,0,0,1,"oat",1,0,0,0,0,0,0,NA,NA,1.96,NA,"winter",0,0,0,1,0,1,8,3,"no-till",0,1,NA,NA,NA,"mgha",0.068,7,0.0101561,"","",14,827
"34","Belt21",176,"10.1002/saj2.20257","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"maom fraction",0,"MAOC",NA,NA,NA,NA,NA,NA,NA,6.421,6.065,0.7925234892,0.7485835481,1,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,8.3,70.8,20.9,NA,6,"water","spring",1,0,0,0,"Oliveros fine-textured soil with low temperature and rainfall",-32.5333333,-60.86666667,"soybean",0,1,0,0,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,1.58,NA,"winter",0,0,0,1,0,1,8,3,"no-till",0,1,NA,NA,NA,"mgha",-0.057,-6,0.0101561,"","",17.4,993
"35","Cast",212,"10.2136/vzj2014.07.0093","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",10.08,10.72,1.101546903,1.171486389,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,"0-20",46.9,9.1,44,NA,4.2,"CaCl2","spring",1,0,0,0,"Botucatu",-22.8,-48.41666667,"soybean, corn, rice",0,0,1,0,0,3,"pearl millet, pigeon pea, sunn hemp, lupine bean",0,0,1,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,4,5,8,"no-till",0,1,NA,NA,NA,"gkg",0.062,6,0.0029856,"","",20.6,1283
"36","Conc",268,"10.1016/j.still.2013.01.006","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",7.152317881,7.947019868,0.781608493,0.8684538811,1,1.51,1.51,5.4,6,NA,NA,NA,0,5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Eldorado do Sul",-31.4194444,-52.40555556,"corn",1,0,0,0,0,1,"vetch, cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"conventional",1,0,0,NA,NA,"gkg",0.105,11,0.0079615,"","",17.8,1428
"37","Conc",269,"10.1016/j.still.2013.01.006","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",10.34965035,12.44755245,1.131014413,1.360274092,1,1.43,1.43,7.4,8.9,NA,NA,NA,0,5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Eldorado do Sul",-31.4194444,-52.40555556,"corn",1,0,0,0,0,1,"vetch, cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"no-till",0,1,0,NA,NA,"gkg",0.185,20,0.0079615,"","",17.8,1428
"38","deCa",317,"10.1590/S0100-06832011000300016","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",25.2038835,24.27522936,2.754291647,2.652807908,1,1.03,1.09,12.98,13.23,NA,NA,NA,0,5,"surface",1,0,0,"Oxisols",0,0,0,1,0,0,"0-20",NA,NA,NA,NA,4.5,"water","fall",0,0,1,0,"FUNDACEP",-28.6,-53.66666667,"wheat, soybean",0,0,1,0,0,2,"oat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,19,3,"conventional",1,0,60,NA,NA,"gkg",-0.038,-4,0.0079615,"","",19.3,1752
"39","deCa",318,"10.1590/S0100-06832011000300016","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",25.90909091,24.60162602,2.831357028,2.688476681,1,1.1,1.23,14.25,15.13,NA,NA,NA,0,5,"surface",1,0,0,"Oxisols",0,0,0,1,0,0,"0-20",NA,NA,NA,NA,4.5,"water","fall",0,0,1,0,"FUNDACEP",-28.6,-53.66666667,"wheat, soybean",0,0,1,0,0,2,"oat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,19,3,"no-till",0,1,60,NA,NA,"gkg",-0.052,-5,0.0079615,"","",19.3,1752
"40","Duva",401,"10.1016/j.still.2016.04.006","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","indirect",0,1,"maom fraction",0,"MAOC",14.8,17.7,1.617350611,1.934263907,1,1.33,1.33,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,"0-25",10.2,69.9,19.9,1.66,NA,NA,NA,0,0,0,0,"Santa Fe",-32.9558333,-61.305,"soybean",0,1,0,0,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,3.25,NA,"winter",0,0,0,1,0,1,5,3,"no-till",0,1,0,NA,NA,"gkg",0.179,20,0.0079615,"wheat and oat fertilized with 51 kg N ha-1 as urea","",16.8,927
"41","Duva",402,"10.1016/j.still.2016.04.006","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","indirect",0,1,"maom fraction",0,"MAOC",14.8,17.3,1.617350611,1.890551728,1,1.33,1.33,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,"0-25",10.2,69.9,19.9,1.66,NA,NA,NA,0,0,0,0,"Santa Fe",-32.9558333,-61.305,"soybean",0,1,0,0,0,1,"oat",1,0,0,0,0,0,0,NA,NA,3.27,NA,"winter",0,0,0,1,0,1,5,3,"no-till",0,1,0,NA,NA,"gkg",0.156,17,0.0079615,"wheat and oat fertilized with 51 kg N ha-1 as urea","",16.8,927
"42","Duva",403,"10.1016/j.still.2016.04.006","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","indirect",0,1,"maom fraction",0,"MAOC",14.8,16.9,1.617350611,1.846839549,1,1.33,1.33,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,"0-25",10.2,69.9,19.9,1.66,NA,NA,NA,0,0,0,0,"Santa Fe",-32.9558333,-61.305,"soybean",0,1,0,0,0,1,"oat, vetch",0,0,1,0,0,0,0,NA,NA,2.68,NA,"winter",0,0,0,1,0,2,5,3,"no-till",0,1,0,NA,NA,"gkg",0.133,14,0.0079615,"wheat and oat fertilized with 51 kg N ha-1 as urea","",16.8,927
"43","Duva",404,"10.1016/j.still.2016.04.006","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","indirect",0,1,"maom fraction",0,"MAOC",14.8,16.4,1.617350611,1.792199326,1,1.33,1.33,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,"0-25",10.2,69.9,19.9,1.66,NA,NA,NA,0,0,0,0,"Santa Fe",-32.9558333,-61.305,"soybean",0,1,0,0,0,1,"vetch",0,1,0,0,0,0,0,NA,NA,1.75,NA,"winter",0,0,0,1,0,1,5,3,"no-till",0,1,0,NA,NA,"gkg",0.103,11,0.0079615,"wheat and oat fertilized with 51 kg N ha-1 as urea","",16.8,927
"44","Garc18",521,"10.1016/j.scitotenv.2017.11.240","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Europe",0,0,0,1,0,0,"Spain","indirect",0,1,"maom fraction",0,"MAOC",7.759584234,6.407815493,0.8479708313,0.7002489394,1,1.37,1.42,5.3153152,4.549549,NA,NA,NA,0,5,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,NA,49,24.13,26.88,0.69,NA,NA,"summer",0,1,0,0,"Belmonte de Tajo",40.2552778,-3.335277778,"grapevine",0,0,0,0,1,1,"brachypodium",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,3,12,"no-till",0,1,NA,NA,NA,"gkg",-0.191,-17,0.0019904,"","",13.7,440
"45","Hang",566,"10.1016/j.still.2007.06.004","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"maom fraction",0,"MAOC",1.14,1.31,0.1245797092,0.1431573852,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Manfredi Experimental station",-31.8166667,-63.6,"soybean",0,1,0,0,0,1,"oat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,NA,3,"no-till",0,1,NA,NA,NA,"gkg",0.139,15,0.0079615,"","",17.2,794
"46","Hang",567,"10.1016/j.still.2007.06.004","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"maom fraction",0,"MAOC",1.17,1.33,0.1278581226,0.1453429941,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Manfredi Experimental station",-31.8166667,-63.6,"soybean, corn",0,0,1,0,0,2,"oat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,NA,3,"no-till",0,1,NA,NA,NA,"gkg",0.128,14,0.0079615,"","",17.2,794
